date,animal_id,lact_num,dim,yield_kg
2004-06-14,1,1,1,28.175
2004-06-15,1,1,2,22.062
2004-06-16,1,1,3,23.192
2004-06-17,1,1,4,16.893
2004-06-18,1,1,5,20.369
2004-06-19,1,1,6,33.431
2004-06-20,1,1,7,32.33
2004-06-21,1,1,8,26.322
2004-06-22,1,1,9,26.852
2004-06-23,1,1,10,17.04
2004-06-24,1,1,11,28.428
2004-06-25,1,1,12,30.473
2004-06-26,1,1,13,25.119
2004-06-27,1,1,14,35.974
2004-06-28,1,1,15,43.193
2004-06-29,1,1,16,34.621
2004-06-30,1,1,17,32.377
2004-07-01,1,1,18,33.51
2004-07-02,1,1,19,33.423
2004-07-03,1,1,20,33.806
2004-07-04,1,1,21,32.157
2004-07-05,1,1,22,34.09
2004-07-06,1,1,23,32.781
2004-07-07,1,1,24,34.038
2004-07-08,1,1,25,27.773
2004-07-09,1,1,26,35.64
2004-07-10,1,1,27,33.012
2004-07-11,1,1,28,35.712
2004-07-12,1,1,29,38.704
2004-07-13,1,1,30,41.423
2004-07-14,1,1,31,36.831
2004-07-15,1,1,32,35.171
2004-07-16,1,1,33,31.859
2004-07-17,1,1,34,31.789
2004-07-18,1,1,35,29.894
2004-07-19,1,1,36,35.702
2004-07-20,1,1,37,37.293
2004-07-21,1,1,38,43.664
2004-07-22,1,1,39,36.491
2004-07-23,1,1,40,32.297
2004-07-24,1,1,41,37.662
2004-07-25,1,1,42,30.32
2004-07-26,1,1,43,37.052
2004-07-27,1,1,44,35.608
2004-07-28,1,1,45,30.433
2004-07-29,1,1,46,32.487
2004-07-30,1,1,47,36.968
2004-07-31,1,1,48,35.433
2004-08-01,1,1,49,34.692
2004-08-02,1,1,50,39.505
2004-08-03,1,1,51,39.668
2004-08-04,1,1,52,37.64
2004-08-05,1,1,53,35.084
2004-08-06,1,1,54,36.82
2004-08-07,1,1,55,37.75
2004-08-08,1,1,56,32.325
2004-08-09,1,1,57,39.126
2004-08-10,1,1,58,35.793
2004-08-11,1,1,59,35.77
2004-08-12,1,1,60,36.248
2004-08-13,1,1,61,37.023
2004-08-14,1,1,62,38.524
2004-08-15,1,1,63,38.114
